 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
KmGlpK -2.047 0.485 -2.906 -1.071 0.069 0.049 52.0 363.0 1.04
VmaxfGlpK_dD 1.903 0.481 1.069 2.883 0.078 0.056 33.0 314.0 1.05
KmGlpK_dD -1.879 0.512 -2.809 -1.022 0.106 0.076 26.0 125.0 1.06
nMCPs 1.369 0.117 1.111 1.472 0.04 0.029 22.0 39.0 1.09
AJ_radius -6.582 0.081 -6.687 -6.44 0.014 0.01 32.0 163.0 1.05
NADH_NAD_TOTAL_CYTO 0.33 0.391 -0.339 0.997 0.031 0.022 195.0 523.0 1.01
NADH_NAD_RATIO_CYTO -1.033 0.313 -1.623 -0.365 0.022 0.017 214.0 151.0 1.1
NADH_NAD_TOTAL_MCP 0.03 0.399 -0.778 0.768 0.02 0.021 397.0 692.0 1.05
NADH_NAD_RATIO_MCP -0.291 0.655 -1.458 0.925 0.147 0.105 18.0 206.0 1.09
nPduCDE_WT 2.688 0.04 2.617 2.77 0.002 0.001 471.0 895.0 1.05
nPduQ_WT 2.208 0.016 2.178 2.238 0.001 0.001 246.0 271.0 1.01
nPduP_WT 2.285 0.052 2.187 2.385 0.002 0.002 436.0 333.0 1.06
nPduL_WT 1.447 0.068 1.317 1.584 0.003 0.002 512.0 351.0 1.09
nPduCDE_dAJ 2.255 0.11 2.054 2.449 0.015 0.011 56.0 170.0 1.04
nPduQ_dAJ 2.215 0.017 2.185 2.244 0.002 0.002 62.0 86.0 1.03
nPduP_dAJ 2.057 0.078 1.906 2.181 0.015 0.011 27.0 408.0 1.07
nPduL_dAJ 1.447 0.072 1.314 1.581 0.005 0.003 254.0 785.0 1.03
k4PduCDE -3.468 1.34 -5.798 -0.493 0.122 0.086 131.0 76.0 1.06
kcat_PduCDE_f 1.559 0.143 1.256 1.745 0.022 0.016 36.0 142.0 1.05
kcat_PduCDE_Glycerol -0.638 0.943 -2.455 0.801 0.172 0.123 21.0 60.0 1.07
kcat_PduCDE_r -0.224 1.02 -1.904 1.735 0.175 0.125 43.0 234.0 1.04
kcat_PduCDE_HPA 5.085 1.403 2.124 7.646 0.125 0.088 136.0 82.0 1.1
k8PduQ 2.509 0.771 0.96 3.913 0.173 0.124 18.0 328.0 1.1
kcat_PduQ_f 2.104 0.35 1.704 2.816 0.136 0.103 9.0 28.0 1.17
kcat_PduQ_NADH -1.289 0.857 -2.698 -0.012 0.2 0.144 18.0 84.0 1.09
kcat_PduQ_HPA -2.004 0.417 -2.813 -1.228 0.03 0.021 205.0 242.0 1.09
kcat_PduQ_r 1.233 0.353 0.542 1.828 0.039 0.029 93.0 488.0 1.02
kcat_PduQ_PDO -0.35 0.529 -1.312 0.641 0.035 0.025 232.0 332.0 1.05
kcat_PduQ_NAD -1.276 0.902 -2.913 0.648 0.12 0.086 64.0 336.0 1.06
k8PduP 4.007 1.453 1.17 6.815 0.082 0.058 323.0 281.0 1.06
kcat_PduP_f 1.211 0.529 0.4 2.317 0.033 0.024 285.0 669.0 1.02
kcat_PduP_NAD -0.951 1.072 -2.706 1.196 0.108 0.077 129.0 713.0 1.02
kcat_PduP_HPA -1.936 0.77 -3.291 -0.445 0.044 0.031 315.0 373.0 1.07
kcat_PduP_r 0.166 0.632 -0.899 1.15 0.162 0.117 17.0 48.0 1.09
kcat_PduP_HCoA 0.752 1.073 -1.101 2.344 0.242 0.198 19.0 131.0 1.08
kcat_PduP_NADH -3.841 1.774 -7.319 -0.871 0.197 0.148 74.0 268.0 1.03
k4PduL 0.922 1.02 -0.732 2.957 0.117 0.083 93.0 818.0 1.03
kcat_PduL_f -1.11 0.553 -1.958 -0.107 0.101 0.082 37.0 265.0 1.04
kcat_PduL_HCoA 2.046 0.636 0.796 3.151 0.062 0.044 95.0 684.0 1.04
kcat_PduL_r 1.094 0.498 0.113 1.863 0.07 0.05 56.0 1009.0 1.03
kcat_PduL_HPhosph 0.185 1.352 -2.56 2.141 0.192 0.136 55.0 1045.0 1.04
loglik_true_sd   -183991.914      
